niche_source,company_name,google_maps_url,google_rating,google_review_count,category_google,address,city,phone,website,niche_assigned,city_matched,city_match_method,competitors_count_lsa,_db_id,_db_call_count,_db_existing_custom_fields
chauffagiste,"Grange et Fils, Philippe & Valentin","https://www.google.com/maps/place/Grange+et+Fils,+Philippe+%26+Valentin/data=!4m7!3m6!1s0x480edfcfa36b7635:0xc3571525232daa3c!8m2!3d48.0993416!4d-1.6825334!16s%2Fg%2F11btlsklhc!19sChIJNXZro8_fDkgRPKotIyUVV8M?authuser=0&hl=fr&rclk=1",4.9,92,Chauffagiste,32 Rue André Desilles,,0672376428,,chauffagiste,Rennes,gps_1km,2,75f11d91-b604-45c8-8508-f5a08ff5a35e,0,{}
chauffagiste,EURL BOISRAME COURSELAUD,https://www.google.com/maps/place/EURL+BOISRAME+COURSELAUD/data=!4m7!3m6!1s0x480edfaadc1353a9:0xc13891599ec743af!8m2!3d48.0959115!4d-1.6698499!16s%2Fg%2F11gsbgpkn4!19sChIJqVMT3KrfDkgRr0PHnlmROME?authuser=0&hl=fr&rclk=1,4.7,14,Chauffagiste,19 Rue Glais Bizoin,,0299504163,http://www.boisrame-courselaud.fr/,chauffagiste,Rennes,gps_1km,2,6ab8442a-6f19-45a6-a6cd-d3952f5a8f9a,0,{}
chauffagiste,"ELITHERME : Plombier, Chauffagiste, Électricien, Carreleur, Salle de bain - Rennes","https://www.google.com/maps/place/ELITHERME+:+Plombier,+Chauffagiste,+%C3%89lectricien,+Carreleur,+Salle+de+bain+-+Rennes/data=!4m7!3m6!1s0x480edfd2165da26d:0xea6d4a06c6b399a6!8m2!3d48.137999!4d-1.6722948!16s%2Fg%2F11k2k3vlfl!19sChIJbaJdFtLfDkgRppmzxgZKbeo?authuser=0&hl=fr&rclk=1",4.8,40,Plombier,4 All. de l'équinoxe,,0788076996,http://elitherme.fr/,chauffagiste,Rennes,name,2,28bf967d-ead4-4872-87b2-8b05ef0c26cc,0,{}
chauffagiste,Oger & Fils,https://www.google.com/maps/place/Oger+%26+Fils/data=!4m7!3m6!1s0x480879952e45392f:0xa2bbc4673d3c4641!8m2!3d47.4725511!4d-0.5538837!16s%2Fg%2F11fktrs940!19sChIJLzlFLpV5CEgRQUY8PWfEu6I?authuser=0&hl=fr&rclk=1,4.8,22,Chauffagiste,27 Rue Bodinier,,0241876929,https://www.plombier-chauffagiste-oger.com/,chauffagiste,Angers,gps_0km,2,5b040d65-f118-4404-92ee-867c7584ba4b,0,{}
chauffagiste,Entreprise Le Mener - Plombier Chauffagiste - Angers,https://www.google.com/maps/place/Entreprise+Le+Mener+-+Plombier+Chauffagiste+-+Angers/data=!4m7!3m6!1s0x480879d7317a77bd:0x320e9761a733b907!8m2!3d47.5071666!4d-0.5081458!16s%2Fg%2F11q43nwtg2!19sChIJvXd6Mdd5CEgRB7kzp2GXDjI?authuser=0&hl=fr&rclk=1,4.7,39,Chauffagiste,·,,0241257400,http://www.lemener.fr/,chauffagiste,Angers,name,2,35a000e3-4d3a-485f-b542-72a41eda2bce,0,{}
chauffagiste,Artisan plombier Dépannage 49,https://www.google.com/maps/place/Artisan+plombier+D%C3%A9pannage+49/data=!4m7!3m6!1s0x48087997f9a0cd81:0x33b182236c9732c1!8m2!3d47.474864!4d-0.5293898!16s%2Fg%2F11y8bb_q2v!19sChIJgc2g-Zd5CEgRwTKXbCOCsTM?authuser=0&hl=fr&rclk=1,4.8,32,Chauffagiste,21 Rue Edouard et Renée Coeffard,,0649959426,https://artisanplombierdepannage49.fr/,chauffagiste,Angers,gps_1km,2,38dd736c-c5d3-4d9d-94e4-4886ae8f6ef4,0,{}
chauffagiste,Societe Nicolas HUCHET,https://www.google.com/maps/place/Societe+Nicolas+HUCHET/data=!4m7!3m6!1s0x48087a2e619c565f:0x1bf8adfce645e1a2!8m2!3d47.5080218!4d-0.5158786!16s%2Fg%2F11btlsq77p!19sChIJX1acYS56CEgRouFF5vyt-Bs?authuser=0&hl=fr&rclk=1,4.9,129,Chauffagiste,25 bis Rte d'Angers,,0241937439,https://www.nicolas-huchet.fr/,chauffagiste,Angers,name,2,edde58bf-9d83-4946-a014-5272ce00270d,0,{}
chauffagiste,A.P.C.C 49 - Artisan - Plomberie - Chauffage - Climatisation,https://www.google.com/maps/place/A.P.C.C+49+-+Artisan+-+Plomberie+-+Chauffage+-+Climatisation/data=!4m7!3m6!1s0x4fde3c9c88a1ec35:0xf0a5dd6c44420c5e!8m2!3d47.432268!4d-0.5298328!16s%2Fg%2F11smzw9qd5!19sChIJNeyhiJw83k8RXgxCRGzdpfA?authuser=0&hl=fr&rclk=1,5.0,22,Chauffagiste,6 Chem. du Petit Pouillé,,0783040654,,chauffagiste,Angers,gps_4km,2,9eedea46-d9b2-4eea-9daa-6dede73b6fc4,0,{}
chauffagiste,La Belle Plomberie Angevine,https://www.google.com/maps/place/La+Belle+Plomberie+Angevine/data=!4m7!3m6!1s0x8404260c89159751:0xa8377a46989c7820!8m2!3d47.4794893!4d-0.5613892!16s%2Fg%2F11svbskkpv!19sChIJUZcViQwmBIQRIHicmEZ6N6g?authuser=0&hl=fr&rclk=1,4.9,35,Plombier,28 Bd Daviers,,0763906880,https://lbpa.fr/,chauffagiste,Angers,gps_0km,2,8581160f-bf73-4a68-9483-61f4c4a5da74,0,{}
chauffagiste,Loire Chauffage Solaire,https://www.google.com/maps/place/Loire+Chauffage+Solaire/data=!4m7!3m6!1s0x480879193e108d13:0xd55cfc104f440cd2!8m2!3d47.4769658!4d-0.5101125!16s%2Fg%2F11r112lrzk!19sChIJE40QPhl5CEgR0gxETxD8XNU?authuser=0&hl=fr&rclk=1,4.9,39,Chauffagiste,·,,0241177522,https://loirechauffagesolaire.fr/,chauffagiste,Angers,gps_3km,2,78b0647d-c07f-47e7-bf34-2b128baecae8,0,{}
chauffagiste,ATC,https://www.google.com/maps/place/ATC/data=!4m7!3m6!1s0x4808790e1fd3b0c1:0xfebd351ddba9880c!8m2!3d47.4349566!4d-0.5030482!16s%2Fg%2F11nnf5s5ht!19sChIJwbDTHw55CEgRDIip2x01vf4?authuser=0&hl=fr&rclk=1,5.0,28,Chauffagiste,·,,0241422123,http://www.atc-sarl.fr/?utm_source=gmb,chauffagiste,Angers,gps_5km,2,14bff0d3-afe0-49f2-a106-39410a95b8b4,0,{}
chauffagiste,Bicycl'eau Angers - Votre plombier à vélo (dépannage et installation),https://www.google.com/maps/place/Bicycl%27eau+Angers+-+Votre+plombier+%C3%A0+v%C3%A9lo+%28d%C3%A9pannage+et+installation%29/data=!4m7!3m6!1s0x25030197c7fa8b5:0x36123c1b3675e193!8m2!3d47.4713371!4d-0.5235602!16s%2Fg%2F11lcq2mnrx!19sChIJtah_fBkwUAIRk-F1Nhs8EjY?authuser=0&hl=fr&rclk=1,5.0,94,Plombier,"Ateliers partagés Pepina, 6 Rue Guillaume Lekeu",,0651782923,http://www.angers.bicycleau.fr/,chauffagiste,Angers,name,2,297f0128-3550-4f7b-823f-bac862edcb1f,0,{}
chauffagiste,PETITEAU,https://www.google.com/maps/place/PETITEAU/data=!4m7!3m6!1s0x48087838abd1850d:0x1754038fbce444d5!8m2!3d47.4753661!4d-0.5056607!16s%2Fg%2F1tdc95jm!19sChIJDYXRqzh4CEgR1UTkvI8DVBc?authuser=0&hl=fr&rclk=1,4.6,53,Chauffagiste,5 Rue du Patis,,0241312240,https://www.petiteau-angers.fr/,chauffagiste,Angers,gps_3km,2,bebaf526-d649-4f81-a10b-6f37da21faa0,0,{}
chauffagiste,Electricité Plomberie Chauffage - GS Climatech,https://www.google.com/maps/place/Electricit%C3%A9+Plomberie+Chauffage+-+GS+Climatech/data=!4m7!3m6!1s0x29f14f5ea7072a21:0x9bfedf211c8e5be7!8m2!3d47.5065163!4d-0.5175805!16s%2Fg%2F11v_0cwjnp!19sChIJISoHp15P8SkR51uOHCHf_ps?authuser=0&hl=fr&rclk=1,5.0,209,Chauffagiste,·,,0630013851,,chauffagiste,Angers,gps_4km,2,d06045e6-acb0-4ba5-b039-d0f7d9339060,0,{}
chauffagiste,ANJOU TFP PLOMBERIE,https://www.google.com/maps/place/ANJOU+TFP+PLOMBERIE/data=!4m7!3m6!1s0x4807d5a107e4bcbf:0x3d34288c1a2c7176!8m2!3d47.4253072!4d-0.610347!16s%2Fg%2F11b6c9ntyj!19sChIJv7zkB6HVB0gRdnEsGowoND0?authuser=0&hl=fr&rclk=1,4.8,77,Chauffagiste,2 Imp. de la Bayotière,,0623467622,https://www.anjou-tfp-plomberie.fr/,chauffagiste,Angers,gps_6km,2,54d294a3-4fef-4d57-9866-bfd1ad5eec40,0,{}
chauffagiste,Les plombiers déboucheurs,https://www.google.com/maps/place/Les+plombiers+d%C3%A9boucheurs/data=!4m7!3m6!1s0x843fa9f147dac07f:0xb681f605aa9c9427!8m2!3d47.4398534!4d-0.5270731!16s%2Fg%2F11l36qvtm8!19sChIJf8DaR_GpP4QRJ5ScqgX2gbY?authuser=0&hl=fr&rclk=1,4.9,248,Plombier,60 Rue du 11 Novembre,,0744784428,https://lesplombiersdeboucheurs.com/,chauffagiste,Angers,gps_4km,2,9859995b-2181-43c1-a544-9dadd96ae8a8,0,{}
chauffagiste,Entreprise Mahé SARL,https://www.google.com/maps/place/Entreprise+Mah%C3%A9+SARL/data=!4m7!3m6!1s0x480878c59472ced5:0xcb7f4f38f3792b62!8m2!3d47.4921097!4d-0.5718466!16s%2Fg%2F11d_pv5fr3!19sChIJ1c5ylMV4CEgRYit58zhPf8s?authuser=0&hl=fr&rclk=1,4.7,43,Chauffagiste,140 Rue Renée,,0241876052,http://www.entreprise-mahe.com/?utm_source=gmb,chauffagiste,Angers,gps_2km,2,9d0a9a3d-441e-48ea-94a0-571903d2be3b,0,{}
chauffagiste,SA BT plomberie chauffage électricité,https://www.google.com/maps/place/SA+BT+plomberie+chauffage+%C3%A9lectricit%C3%A9/data=!4m7!3m6!1s0x4805ecab68013c71:0x65724dc2067b68d7!8m2!3d47.4173067!4d-0.8544096!16s%2Fg%2F11hb2qf441!19sChIJcTwBaKvsBUgR12h7BsJNcmU?authuser=0&hl=fr&rclk=1,4.9,63,Chauffagiste,·,,0783882525,http://www.bt-plomberie.fr/,chauffagiste,Angers,gps_23km,2,bfbaf5f3-b57f-40f0-8b01-00c5d8401443,1,{}
chauffagiste,Bruce Barelly plomberie et chauffage,https://www.google.com/maps/place/Bruce+Barelly+plomberie+et+chauffage/data=!4m7!3m6!1s0x4807d770113b5d97:0x360f6d3b3e4d80e4!8m2!3d47.481896!4d-0.5629347!16s%2Fg%2F11h2p60717!19sChIJl107EXDXB0gR5IBNPjttDzY?authuser=0&hl=fr&rclk=1,5.0,93,Chauffagiste,·,,0637173774,,chauffagiste,Angers,gps_1km,2,b5569f39-4ef0-4320-8e65-918527b01e98,0,{}
chauffagiste,Odant Plomberie,https://www.google.com/maps/place/Odant+Plomberie/data=!4m7!3m6!1s0x480153cf423af101:0xe7c5620468993b61!8m2!3d46.1550585!4d-1.1509003!16s%2Fg%2F11hz0rp0bc!19sChIJAfE6Qs9TAUgRYTuZaARixec?authuser=0&hl=fr&rclk=1,4.8,35,Chauffagiste,5 Pl. des Coureauleurs,,0615091730,https://www.odantplomberie.fr/,chauffagiste,La Rochelle,gps_0km,2,685697c0-7b1a-480f-be1d-515801d522f1,0,{}
chauffagiste,APC Home,https://www.google.com/maps/place/APC+Home/data=!4m7!3m6!1s0x480154a34c89bda1:0xb97c29fa377169c2!8m2!3d46.189533!4d-1.146322!16s%2Fg%2F1ttpg86c!19sChIJob2JTKNUAUgRwmlxN_opfLk?authuser=0&hl=fr&rclk=1,4.7,64,Plombier,·,,0546509802,http://www.apc-home.fr/,chauffagiste,La Rochelle,gps_3km,2,cc24acde-0874-4770-80bd-9ff2ddcbf1dd,0,{}
chauffagiste,Plisson Plomberie Chauffage,https://www.google.com/maps/place/Plisson+Plomberie+Chauffage/data=!4m7!3m6!1s0x4806adbe03100ae5:0x27bef43d82ea81ee!8m2!3d46.2066588!4d-1.1655681!16s%2Fg%2F11h77ppc3c!19sChIJ5QoQA76tBkgR7oHqgj30vic?authuser=0&hl=fr&rclk=1,4.8,91,Plombier,9 Rue du Treuil Boulard,,0652190592,http://www.artipole.fr/nos-artisans-artipole/entreprise-plisson-frederic,chauffagiste,La Rochelle,gps_5km,2,6591cd7f-8004-4919-a0e4-4c0b10fa1dee,0,{}
chauffagiste,EURL LVP ANGOULINS,https://www.google.com/maps/place/EURL+LVP+ANGOULINS/data=!4m7!3m6!1s0xa56c2aadd206c83b:0x4b74832e948e71ab!8m2!3d46.1005355!4d-1.1068101!16s%2Fg%2F11styj_26r!19sChIJO8gG0q0qbKURq3GOlC6DdEs?authuser=0&hl=fr&rclk=1,5.0,184,Chauffagiste,25 ter Av. du Général de Gaulle,,0695426796,https://lvp17plomberie.fr/,chauffagiste,La Rochelle,gps_7km,2,11b2bfea-5e83-400c-87ad-f48d71185bd8,0,{}
chauffagiste,APCS Derrien,https://www.google.com/maps/place/APCS+Derrien/data=!4m7!3m6!1s0x4805650afb54f881:0x326109bfb56313f8!8m2!3d47.2927899!4d-2.1955679!16s%2Fg%2F11f6dm1_mp!19sChIJgfhU-wplBUgR-BNjtb8JYTI?authuser=0&hl=fr&rclk=1,4.7,58,Plombier,30 Rue Albert Thomas,,0244735758,https://www.facebook.com/plomberie.chauffage.stnazaire/#,chauffagiste,Saint-Nazaire,gps_2km,2,b1196c37-5c92-4b48-8cbf-d7fd5a4c1c13,0,{}
chauffagiste,"Plombier Trav'eau Renov Saint Nazaire Dépannage, Chauffe-Eau Rénovation Salle de Bains","https://www.google.com/maps/place/Plombier+Trav%27eau+Renov+Saint+Nazaire+D%C3%A9pannage,+Chauffe-Eau+R%C3%A9novation+Salle+de+Bains/data=!4m7!3m6!1s0x4805693a8ccce351:0x9b281f0ad9681edc!8m2!3d47.3113534!4d-2.3246799!16s%2Fg%2F11qp56zvnw!19sChIJUePMjDppBUgR3B5o2QofKJs?authuser=0&hl=fr&rclk=1",4.9,436,Chauffagiste,·,,0624060604,https://www.plombierdepannage44600.fr/?utm_source=gmb,chauffagiste,Saint-Nazaire,name,2,144b00a7-46d6-4d63-aec0-67a0870736d4,0,{}
chauffagiste,Afnec,https://www.google.com/maps/place/Afnec/data=!4m7!3m6!1s0x48056598a8f805eb:0xc129728d5358fe98!8m2!3d47.2903477!4d-2.2034195!16s%2Fg%2F1td0s7mn!19sChIJ6wX4qJhlBUgRmP5YU41yKcE?authuser=0&hl=fr&rclk=1,4.7,29,Plombier,12 Rue Jules Busson,,0629696169,https://www.facebook.com/sarlafnec/?utm_source=gmb,chauffagiste,Saint-Nazaire,gps_2km,2,8de98b69-a2a5-46e8-9cdd-b53fc1e8d619,0,{}
chauffagiste,Atlantis Thermique et Sanitaire,https://www.google.com/maps/place/Atlantis+Thermique+et+Sanitaire/data=!4m7!3m6!1s0x48057bdf55b50727:0x40f6dc34cef30d20!8m2!3d47.2615954!4d-2.2380137!16s%2Fg%2F11hbg9vzsy!19sChIJJwe1Vd97BUgRIA3zzjTc9kA?authuser=0&hl=fr&rclk=1,4.8,15,Plombier,41 Rue Ambroise Paré,,0629594151,,chauffagiste,Saint-Nazaire,gps_2km,2,0418bcba-82e6-4f78-a856-1461521c8b12,0,{}
chauffagiste,SARL SKB ENERGIE,https://www.google.com/maps/place/SARL+SKB+ENERGIE/data=!4m7!3m6!1s0x47e613a75c0869b9:0x970dd9fa32776b3f!8m2!3d48.8969551!4d2.4949337!16s%2Fg%2F11rx2534bh!19sChIJuWkIXKcT5kcRP2t3MvrZDZc?authuser=0&hl=fr&rclk=1,5.0,3,Chauffagiste,188 Rue Louis Auguste Blanqui,,0617842608,,chauffagiste,Bondy,gps_1km,2,234a4bcd-e9ac-4fef-9333-ae60074b13aa,1,{}
cloture,Clôtures Nantaises,https://www.google.com/maps/place/Cl%C3%B4tures+Nantaises/data=!4m7!3m6!1s0x4805efdd86f83b0f:0x83856f71e4258518!8m2!3d47.2629578!4d-1.4985572!16s%2Fg%2F11txzq5731!19sChIJDzv4ht3vBUgRGIUl5HFvhYM?authuser=0&hl=fr&rclk=1,4.9,33,Entrepreneur spécialisé dans les clôtures,5 Rue du Tertre Bâtiment C,,0240680415,https://www.clotures-nantaises.fr/,cloture,Nantes,gps_6km,2,fb4adb26-0410-4067-9526-2c0af9affaa3,0,{}
cloture,Créa Clos,https://www.google.com/maps/place/Cr%C3%A9a+Clos/data=!4m7!3m6!1s0x4805e8901dcad4b7:0xb1efafee1f5936a2!8m2!3d47.2552615!4d-1.4735539!16s%2Fg%2F11c6lvlb1y!19sChIJt9TKHZDoBUgRojZZH-6v77E?authuser=0&hl=fr&rclk=1,4.6,16,Entrepreneur spécialisé dans les clôtures,7 Rue de Copenhague,,0781802380,https://www.creaclos.com/,cloture,Nantes,gps_7km,2,e23dd15a-2a57-4ad1-acc7-1937a44f8fad,0,{}
cloture,AXOMA,https://www.google.com/maps/place/AXOMA/data=!4m7!3m6!1s0x4805931352791497:0xb4ca0682491b2893!8m2!3d47.2577059!4d-1.6470813!16s%2Fg%2F1vxcvsyh!19sChIJlxR5UhOTBUgRkygbSYIGyrQ?authuser=0&hl=fr&rclk=1,4.5,127,Entrepreneur spécialisé dans les clôtures,·,,0228073095,https://www.axoma-44.com/,cloture,Saint-Herblain,gps_3km,2,30842292-2419-49a0-b784-c4b57116314a,0,{}
cloture,LMC Ouvertures,https://www.google.com/maps/place/LMC+Ouvertures/data=!4m7!3m6!1s0x4805ec17d0a535d9:0x15085c24830aa843!8m2!3d47.2175439!4d-1.5603468!16s%2Fg%2F113dllhfv!19sChIJ2TWl0BfsBUgRQ6gKgyRcCBU?authuser=0&hl=fr&rclk=1,4.8,32,Entrepreneur spécialisé dans les clôtures,10 Rue Mercœur,,0986291916,https://www.lmc-ouvertures.fr/,cloture,Nantes,gps_0km,2,5120017b-592b-4c46-b313-ce76a58a4cb4,0,{}
cloture,Daniel Moquet signe vos clôtures - Ent. Gingreau,https://www.google.com/maps/place/Daniel+Moquet+signe+vos+cl%C3%B4tures+-+Ent.+Gingreau/data=!4m7!3m6!1s0x4805e9ed650bc21b:0xa18d1b0298f7370f!8m2!3d47.1421424!4d-1.525066!16s%2Fg%2F11ft88pcdm!19sChIJG8ILZe3pBUgRDzf3mAIbjaE?authuser=0&hl=fr&rclk=1,5.0,31,Entrepreneur spécialisé dans les clôtures,·,,0228004913,https://www.moquet-clotures.com/cloture-portail/,cloture,Rezé,gps_6km,1,f542f029-acb5-4147-959f-1be62f464e51,0,{}
cloture,"Cs paysage - entretien de jardin (particulier et entreprise) et création paysagère (clôture, terrasse, allée, terrassement)","https://www.google.com/maps/place/Cs+paysage+-+entretien+de+jardin+%28particulier+et+entreprise%29+et+cr%C3%A9ation+paysag%C3%A8re+%28cl%C3%B4ture,+terrasse,+all%C3%A9e,+terrassement%29/data=!4m7!3m6!1s0x7a1738884a5336b:0x42d29aee8b9f1da4!8m2!3d47.2334081!4d-1.644728!16s%2Fg%2F11nx2t_fsr!19sChIJazOlhIhzoQcRpB2fi-6a0kI?authuser=0&hl=fr&rclk=1",4.8,44,Paysagiste,22 Rue du Moulin de la Rousselière,,0251771575,https://paysagiste.confortservices.net/,cloture,Saint-Herblain,gps_1km,2,d81d00b1-6f58-4442-87b6-b4b90ece7b3b,0,{}
cloture,ESPACE CLOTURE NANTES,https://www.google.com/maps/place/ESPACE+CLOTURE+NANTES/data=!4m7!3m6!1s0x48060bb10cde956d:0xcc8209e9772ef9f!8m2!3d47.1812875!4d-1.259352!16s%2Fg%2F1tftqgk2!19sChIJbZXeDLELBkgRn-9yl54gyAw?authuser=0&hl=fr&rclk=1,4.6,7,Entrepreneur spécialisé dans les clôtures,10 Rue des Potiers,,0251717676,https://www.espace-cloture.fr/,cloture,Nantes,name,2,d165dc5b-7a7a-4c8e-8acc-e5da8724a9e4,0,{}
cloture,L'Expert Fenêtre Bournigal SARL,https://www.google.com/maps/place/L%27Expert+Fen%C3%AAtre+Bournigal+SARL/data=!4m7!3m6!1s0x4805ec6719334883:0x421bb30108a91ca4!8m2!3d47.2204306!4d-1.5955575!16s%2Fg%2F1tf69f3r!19sChIJg0gzGWfsBUgRpBypCAGzG0I?authuser=0&hl=fr&rclk=1,4.8,129,Entrepreneur spécialisé dans les clôtures,Pl. d'Oradour-sur-Glâne,,0221831485,https://www.bournigalsarl.fr/?utm_source=gmb,cloture,Saint-Herblain,gps_2km,2,4870325e-8f5f-4059-8d79-37aa8f8295a4,0,{}
