id,company_name,phone,best_email,best_email_quality,dirigeant_prenom,dirigeant_nom,dirigeant_full,dirigeant_source,ville,niche,niche_source_csv,competitors_count_lsa,google_rating,google_review_count,category_google,website,google_maps_url,code_naf,siret,date_creation,tranche_effectif,_reason
569be710-1c9f-47ce-921e-dc638f95e060,GUILLOUX MATERIAUX AGENCE DE ROUEN,0232121180,admin@solaris-informatique.com,low,François-Xavier Armand Jean-Marie,Guillou,FRANÇOIS-XAVIER ARMAND JEAN-MARIE GUILLOU,siret_insee,Sartilly-Baie-Bocage,bardage,bardage,2,4.5,34,Magasin de materiaux de construction,http://www.guillouxmateriaux.com/,https://www.google.com/maps/place/GUILLOUX+MATERIAUX+AGENCE+DE+ROUEN/data=!4m7!3m6!1s0x47e0dffb7bc98be5:0xd4dcf9e76bf67fa1!8m2!3d49.4372303!4d1.1317172!16s%2Fg%2F11h4g7nfhw!19sChIJ5YvJe_vf4EcRoX_2a-f53NQ?authuser=0&hl=fr&rclk=1,46.73A,31089637800109,1977-01-01,22,aucun mot-clé OK dans cat='magasin de materiaux de construction'
da3cbe50-f08c-4621-b3df-66dfe085168d,Lariviere,0231475609,info-lariviere@lariviere.fr,high,,,,,Caen,bardage,bardage,2,4.6,11,Magasin de materiaux de construction,https://www.lariviere.fr/trouver-votre-agence/lariviere-SEB/entry-379-lariviere-caen.html,https://www.google.com/maps/place/Lariviere/data=!4m7!3m6!1s0x480a5d564756412d:0x60461dff969874a4!8m2!3d49.208578!4d-0.34785!16s%2Fg%2F1v16ppn0!19sChIJLUFWR1ZdCkgRpHSYlv8dRmA?authuser=0&hl=fr&rclk=1,,,,,aucun mot-clé OK dans cat='magasin de materiaux de construction'
b4d4397a-b6b1-4c13-9caa-cb55d276b3f4,Boidiscount SAS,0231400973,bois.discount@outlook.fr,medium,Gilles Georges,Bailleul,GILLES GEORGES BAILLEUL,siret_insee,Mezidon Vallee D'auge,bardage,bardage,2,4.5,48,Magasin de materiaux de construction,http://www.boidiscount.com/,https://www.google.com/maps/place/Boidiscount+SAS/data=!4m7!3m6!1s0x480a7476061d0bc7:0xd4309f3b1a536127!8m2!3d49.094198!4d-0.09183!16s%2Fg%2F1tdxpvk2!19sChIJxwsdBnZ0CkgRJ2FTGjufMNQ?authuser=0&hl=fr&rclk=1,46.73A,51766833100013,2009-10-12,02,aucun mot-clé OK dans cat='magasin de materiaux de construction'
b8c338c8-3226-4983-9c4b-e37982e54777,Lariviere,0549502486,info-lariviere@lariviere.fr,high,,,,,Poitiers,bardage,bardage,2,4.8,15,Magasin de materiaux de construction,https://www.lariviere.fr/trouver-votre-agence/lariviere-SEB/entry-442-lariviere-poitiers.html,https://www.google.com/maps/place/Lariviere/data=!4m7!3m6!1s0x47fd962012e4b307:0x588776c236d9ddca!8m2!3d46.612861!4d0.315574!16s%2Fg%2F1xfsn35_!19sChIJB7PkEiCW_UcRyt3ZNsJ2h1g?authuser=0&hl=fr&rclk=1,,,,,aucun mot-clé OK dans cat='magasin de materiaux de construction'
7fb91206-97fa-4c96-b19d-15d668380f29,Lariviere,0233924480,info-lariviere@lariviere.fr,high,,,,,Cherbourg-en-Cotentin,bardage,bardage,2,4.5,11,Magasin de materiaux de construction,https://www.lariviere.fr/trouver-votre-agence/lariviere-SEB/entry-386-lariviere-cherbourg.html,https://www.google.com/maps/place/Lariviere/data=!4m7!3m6!1s0x480c998f8f9efabd:0x3ff067d9bb5dafcd!8m2!3d49.601853!4d-1.595595!16s%2Fg%2F1tdjwdg4!19sChIJvfqej4-ZDEgRza9du9ln8D8?authuser=0&hl=fr&rclk=1,,,,,aucun mot-clé OK dans cat='magasin de materiaux de construction'
e9d538a9-22df-43e5-91a2-c97162ea5f1a,LEDUC,0233018383,leduc@sasleduc.fr,low,,,,,Cherbourg-en-Cotentin,bardage,bardage,2,4.5,15,Entreprise de construction,http://www.leduc-batiment.fr/,https://www.google.com/maps/place/LEDUC/data=!4m7!3m6!1s0x480c93e85cc70d81:0xb374f93df743ecf0!8m2!3d49.578512!4d-1.7084305!16s%2Fg%2F1wl4p_5j!19sChIJgQ3HXOiTDEgR8OxD9z35dLM?authuser=0&hl=fr&rclk=1,,,,,aucun mot-clé OK dans cat='entreprise de construction'
29b9813d-8154-4e7f-a6f1-3ba50e94c6bb,Quéguiner Matériaux,0240915363,communication@queguiner.fr,high,Clément,Quéguiner,Clément Quéguiner,mentions_legales,Saint-Nazaire,bardage,bardage,2,4.5,48,Magasin de materiaux de construction,https://www.queguiner.fr/nos-agences/saint-nazaire,https://www.google.com/maps/place/Qu%C3%A9guiner+Mat%C3%A9riaux/data=!4m7!3m6!1s0x480567b9aaa2936d:0xbcf86f507127ea04!8m2!3d47.2908318!4d-2.2948599!16s%2Fg%2F11bbwq9kvg!19sChIJbZOiqrlnBUgRBOoncVBv-Lw?authuser=0&hl=fr&rclk=1,,,,,aucun mot-clé OK dans cat='magasin de materiaux de construction'
b4cd4c70-d8cd-4cb8-a016-66763f45931a,A.J Entreprise maçonnerie - Génie civil,0240018889,direction@aj-entreprise.fr,high,,,,,Saint-Nazaire,bardage,bardage,2,4.8,17,Entreprise de construction,https://aj-entreprise.fr/construction-renovation-saint-nazaire-a-propos/?utm_source=gmb,https://www.google.com/maps/place/A.J+Entreprise+ma%C3%A7onnerie+-+G%C3%A9nie+civil/data=!4m7!3m6!1s0x480565a086d587e5:0x858a0bc0fec8a010!8m2!3d47.2917174!4d-2.1980241!16s%2Fg%2F1tgtdwkg!19sChIJ5YfVhqBlBUgREKDI_sALioU?authuser=0&hl=fr&rclk=1,,,,,aucun mot-clé OK dans cat='entreprise de construction'
6f4ba5e0-641f-44fa-955c-90c35e4126e4,OB EGA,0298902236,quimper@ob-ega.fr,high,Yves,Mazetier,YVES MAZETIER,siret_insee,Quimper,bardage,bardage,2,4.6,40,Entreprise de construction,https://www.ob-ega.fr/,https://www.google.com/maps/place/OB+EGA/data=!4m7!3m6!1s0x4810d5d71e9995dd:0x8b37278d9262bbd4!8m2!3d47.9750862!4d-4.0758399!16s%2Fg%2F1tkv94x3!19sChIJ3ZWZHtfVEEgR1Ltiko0nN4s?authuser=0&hl=fr&rclk=1,41.20A,33756240900025,1986-04-15,11,aucun mot-clé OK dans cat='entreprise de construction'
0b707427-5a0b-4339-9fde-91a7357a6279,Lariviere,0298907400,info-lariviere@lariviere.fr,high,,,,,Quimper,bardage,bardage,2,4.5,10,Magasin de materiaux de construction,https://www.lariviere.fr/trouver-votre-agence/lariviere-SEB/entry-444-lariviere-quimper.html,https://www.google.com/maps/place/Lariviere/data=!4m7!3m6!1s0x4810d607f5da85b9:0x39320964c7e3de60!8m2!3d47.997708!4d-4.077227!16s%2Fg%2F1tptp_xd!19sChIJuYXa9QfWEEgRYN7jx2QJMjk?authuser=0&hl=fr&rclk=1,,,,,aucun mot-clé OK dans cat='magasin de materiaux de construction'
4b4922cf-6cb3-4945-96a6-e68b9fac645b,Le Baron,0298946768,contact@lebaron.bzh,high,Rene,Le Baron,RENE LE BARON,siret_insee,Quimper,bardage,bardage,2,4.8,4,Entreprise de construction,https://lebaron.bzh/,https://www.google.com/maps/place/Le+Baron/data=!4m7!3m6!1s0x4810d7ac11ed3ed3:0x179fb273298c5fd0!8m2!3d47.9766513!4d-4.0232463!16s%2Fg%2F1tct83g0!19sChIJ0z7tEazXEEgR0F-MKXOynxc?authuser=0&hl=fr&rclk=1,43.99B,39382518700031,1994-01-18,12,aucun mot-clé OK dans cat='entreprise de construction'
1ad80488-3d13-4b8e-9cc5-fb704563dfd3,TANGUY GÉRARD,0661406016,tanguy.gerard@orange.fr,medium,,,,,Quimper,bardage,bardage,2,5.0,10,Entreprise de construction,https://www.menuiserietanguy.com/?utm_medium=referral&utm_source=gmb&utm_campaign=lnk-gmb,https://www.google.com/maps/place/TANGUY+G%C3%89RARD/data=!4m7!3m6!1s0x4816d55d98b78885:0x9f9b6eedb63c8c86!8m2!3d48.0119217!4d-4.1910204!16s%2Fg%2F1tklpz53!19sChIJhYi3mF3VFkgRhow8tu1um58?authuser=0&hl=fr&rclk=1,,,,,aucun mot-clé OK dans cat='entreprise de construction'
d81840c0-e815-4bb3-932c-219f97840bd4,Tole-Armor,0297027264,contact@tole-armor.fr,high,,,,,Lorient,bardage,bardage,2,4.7,72,Magasin de materiaux de construction,http://www.tole-armor.fr/?utm_source=gmb,https://www.google.com/maps/place/Tole-Armor/data=!4m7!3m6!1s0x4810f69aa45cb73d:0xd6d02f84905e885a!8m2!3d47.807381!4d-3.4780658!16s%2Fg%2F1tfz9lhb!19sChIJPbdcpJr2EEgRWohekIQv0NY?authuser=0&hl=fr&rclk=1,,,,,aucun mot-clé OK dans cat='magasin de materiaux de construction'
915b50b4-8f3b-44e4-af32-e241a9997d8d,Écologie et Matériaux,0972520993,brest@ecologie-materiaux.fr,high,,,,,Quimper,bardage,bardage,2,4.9,22,Magasin de materiaux de construction,https://www.ecologie-materiaux.fr/,https://www.google.com/maps/place/%C3%89cologie+et+Mat%C3%A9riaux/data=!4m7!3m6!1s0x4811281f65f8e233:0xf9386780b69a28f4!8m2!3d47.9817948!4d-4.0314243!16s%2Fg%2F11btysvsmb!19sChIJM-L4ZR8oEUgR9CiatoBnOPk?authuser=0&hl=fr&rclk=1,,,,,aucun mot-clé OK dans cat='magasin de materiaux de construction'
82e5a2fb-8dab-4c1c-ac1d-ccf6dfb712e0,QUALI ECO,0478406088,contact@qualieco.fr,high,,,,,Vénissieux,bardage,bardage,2,5.0,9,Entreprise de construction,http://www.qualieco.fr/,https://www.google.com/maps/place/QUALI+ECO/data=!4m7!3m6!1s0x47f4c3c371db6979:0x1123558b76106891!8m2!3d45.6895916!4d4.9318266!16s%2Fg%2F1td64ngn!19sChIJeWnbccPD9EcRkWgQdotVIxE?authuser=0&hl=fr&rclk=1,,51843707400033,,,aucun mot-clé OK dans cat='entreprise de construction'
02067fc9-b417-45c5-b53e-dd3fe623c5d0,Réseau AC 2.0,0256543775,agencelorient@ac-2.fr,high,Christophe,Boyer,Christophe BOYER,mentions_legales,Lorient,bardage,bardage,2,4.9,8,Entreprise de construction,https://ac-2.fr/,https://www.google.com/maps/place/R%C3%A9seau+AC+2.0/data=!4m7!3m6!1s0x48105e5779f40001:0x994b9141fcc6cab8!8m2!3d47.7513839!4d-3.3610353!16s%2Fg%2F11vbsl3x9w!19sChIJAQD0eVdeEEgRuMrG_EGRS5k?authuser=0&hl=fr&rclk=1,,,,,aucun mot-clé OK dans cat='entreprise de construction'
76d7abda-1f05-454d-a889-af1f7aa21389,COSTA Entreprise générale du bâtiment,0240360606,contact@costa-expert.com,low,Ladislau Jose,Guerreiro Costa,LADISLAU JOSE GUERREIRO COSTA,siret_insee,Nantes,bardage,bardage,2,4.7,26,Entreprise de construction,http://www.costa-expert.fr/,https://www.google.com/maps/place/COSTA+Entreprise+g%C3%A9n%C3%A9rale+du+b%C3%A2timent/data=!4m7!3m6!1s0x4805ec822efe1d81:0xc884d65263a09969!8m2!3d47.2049867!4d-1.6071231!16s%2Fg%2F11fjmcj5p0!19sChIJgR3-LoLsBUgRaZmgY1LWhMg?authuser=0&hl=fr&rclk=1,43.22A,49991494300026,2007-07-17,01,aucun mot-clé OK dans cat='entreprise de construction'
f4574a49-75e6-43d2-8f43-d8b5a6e3bdfd,MJF BATIMENT | Entreprise générale de rénovation Clamart,0145072855,contact@mjfbatiment.com,high,Joao,Carvalho Martins,JOAO CARVALHO MARTINS (CARVALHO MARTINS),siret_insee,Clamart,bardage,bardage,2,4.6,37,Entreprise de construction,https://www.mjfbatiment.com/,https://www.google.com/maps/place/MJF+BATIMENT+%7C+Entreprise+g%C3%A9n%C3%A9rale+de+r%C3%A9novation+Clamart/data=!4m7!3m6!1s0x47e67a51b6055537:0x178d7f382104e08c!8m2!3d48.7796628!4d2.2254022!16s%2Fg%2F11c1ny81l0!19sChIJN1UFtlF65kcRjOAEITh_jRc?authuser=0&hl=fr&rclk=1,41.20A,82245149800023,2016-09-09,03,aucun mot-clé OK dans cat='entreprise de construction'
f142af2d-d938-4370-9f7c-3b38dc9059e6,Monsieur Store - Fenêtres - Volets - Portails - Narbonne - Courcières,0468417550,contact@monsieur-store.net,low,,,,,Narbonne,cloture,bardage,0,4.6,68,Magasin de stores et de rideaux,https://monsieurstore.com/magasin/narbonne-11100/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,https://www.google.com/maps/place/Monsieur+Store+-+Fen%C3%AAtres+-+Volets+-+Portails+-+Narbonne+-+Courci%C3%A8res/data=!4m7!3m6!1s0x12b1acf38665f619:0x61864136b2b06007!8m2!3d43.169762!4d2.9928932!16s%2Fg%2F1v1m91np!19sChIJGfZlhvOssRIRB2CwsjZBhmE?authuser=0&hl=fr&rclk=1,,,,,category contient 'magasin de stores'
1c5d2fb9-0dc6-4a47-bfd6-cf240721c9cf,Entreprise Creasud Etanchéité & Piscine,0766491879,entreprise.creasud@gmail.com,medium,,,,,Narbonne,bardage,bardage,2,5.0,9,Société de construction de piscine,https://creasud-etancheite-piscine.fr/?utm_source=gmb,https://www.google.com/maps/place/Entreprise+Creasud+Etanch%C3%A9it%C3%A9+%26+Piscine/data=!4m7!3m6!1s0x12b053302ed1dff7:0xb4d1f7d101e195e3!8m2!3d43.1350004!4d2.9587065!16s%2Fg%2F11h1m56wnf!19sChIJ99_RLjBTsBIR45XhAdH30bQ?authuser=0&hl=fr&rclk=1,,,,,category contient 'piscine'
2bab822b-90d7-4f95-afe7-67ddcb65904f,BMC 81 GALY,0563792220,g.galy@bmc81.com,low,Web,Premiere,WEB PREMIERE,mentions_legales,Albi,bardage,bardage,2,4.7,12,Entreprise de construction métallique,https://www.bm81-construction.com/,https://www.google.com/maps/place/BMC+81+GALY/data=!4m7!3m6!1s0x12ae762e9d89e67d:0x76bda2bf0a3a0636!8m2!3d43.6743533!4d2.2272119!16s%2Fg%2F11bccd5jt7!19sChIJfeaJnS52rhIRNgY6Cr-ivXY?authuser=0&hl=fr&rclk=1,,84855185900038,,,aucun mot-clé OK dans cat='entreprise de construction métallique'
73f8f9b8-3135-4e88-8cf0-8418bb5c9e7a,Atout Piscine Narbonne,0468937336,contact@atout-piscine.fr,high,Bruno,Bodson,Bruno Bodson,mentions_legales,Narbonne,bardage,bardage,2,4.5,120,Société de construction de piscine,https://atout-piscine.fr/,https://www.google.com/maps/place/Atout+Piscine+Narbonne/data=!4m7!3m6!1s0x12b1ace09aca844b:0xccdd65a458d0ffed!8m2!3d43.1580194!4d2.9769939!16s%2Fg%2F1pxqbjjqp!19sChIJS4TKmuCssRIR7f_QWKRl3cw?authuser=0&hl=fr&rclk=1,,,,,category contient 'piscine'
5784b7d5-aa2b-4e7b-b131-34ce4c32060f,Raval'Construction,0698782505,contact@ravalconstruction34.fr,high,Aneta,Aydan,ANETA AYDAN (RANGELOVA),siret_insee,Sete,bardage,bardage,2,5.0,3,Entreprise de construction,http://www.ravalconstruction34.fr/,https://www.google.com/maps/place/Raval%27Construction/data=!4m7!3m6!1s0x12b13500c7552709:0x96b45db6a096363f!8m2!3d43.4214591!4d3.7072718!16s%2Fg%2F11tgggkcjn!19sChIJCSdVxwA1sRIRPzaWoLZdtJY?authuser=0&hl=fr&rclk=1,43.99C,98506142300010,2024-01-30,NN,aucun mot-clé OK dans cat='entreprise de construction'
73e36856-764e-4548-a6b2-cc75cee838a2,Monsieur Store Castres- ETS TECHNIC BAIE- Fenêtres- Volets- Moustiquaires- Portes- Pergolas- Portails.,0563721414,contact@monsieur-store.net,low,,,,,Castres,cloture,bardage,2,4.9,68,Magasin de stores et de rideaux,https://monsieurstore.com/magasin/castres-81100/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,https://www.google.com/maps/place/Monsieur+Store+Castres-+ETS+TECHNIC+BAIE-+Fen%C3%AAtres-+Volets-+Moustiquaires-+Portes-+Pergolas-+Portails./data=!4m7!3m6!1s0x12ae12396c404077:0xc5bef0925c5204a0!8m2!3d43.5906028!4d2.2060248!16s%2Fg%2F1v3z_vmp!19sChIJd0BAbDkSrhIRoARSXJLwvsU?authuser=0&hl=fr&rclk=1,,,,,category contient 'magasin de stores'
5a757c4c-a729-4516-a234-aed5ddbb79e1,Renoba,0559437714,contact@renoba.fr,high,,,,,Anglet,bardage,bardage,2,4.7,114,Entreprise de construction,http://www.renoba.fr/?utm_source=gmb,https://www.google.com/maps/place/Renoba/data=!4m7!3m6!1s0xd51419c76eb0a51:0x5b70f5f7247a1beb!8m2!3d43.4609995!4d-1.5387419!16s%2Fg%2F1tf7z0yj!19sChIJUQrrdpxBUQ0R6xt6JPf1cFs?authuser=0&hl=fr&rclk=1,,,,,aucun mot-clé OK dans cat='entreprise de construction'
8be40478-4ba5-48fa-b531-9f6682d69a6e,Veranda Design,0164256590,contact@veranda-design77.fr,high,Lorentina,Da Silva Fernandes,LORENTINA DA SILVA FERNANDES (RODRIGUEZ FREITAS),siret_insee,Yebles,bardage,bardage,2,4.5,41,Atelier de menuiserie,https://www.veranda-design77.fr/,https://www.google.com/maps/place/Veranda+Design/data=!4m7!3m6!1s0x47ef549be1ea595b:0xf75fe2ba78de3385!8m2!3d48.6362705!4d2.7813164!16s%2Fg%2F1tfkvn4d!19sChIJW1nq4ZtU70cRhTPeeLriX_c?authuser=0&hl=fr&rclk=1,43.32A,49163434100037,2006-08-24,03,category contient 'atelier de menuiserie'
e7dd0e86-22a4-4acb-92b4-bbf48578698d,Renove Concept Melun,0164879042,contact@renove-concept.com,high,,,,,Melun,bardage,bardage,2,5.0,4,Entreprise de construction,http://www.renove-concept.com/,https://www.google.com/maps/place/Renove+Concept+Melun/data=!4m7!3m6!1s0x47e5fa7f0936b23b:0x8760398e2c6935d8!8m2!3d48.5337782!4d2.6786277!16s%2Fg%2F11clwkfw02!19sChIJO7I2CX_65UcR2DVpLI45YIc?authuser=0&hl=fr&rclk=1,,,,,aucun mot-clé OK dans cat='entreprise de construction'
ad0f715b-e083-4a07-9f4a-66f3488f46fd,LB Concept,0134108440,contact.lbconcept@gmail.com,medium,,,,,Bezons,bardage,bardage,1,4.6,17,Entreprise de construction,https://www.lbconcept.net/?utm_source=gmb,https://www.google.com/maps/place/LB+Concept/data=!4m7!3m6!1s0x47e6637d7416a43d:0x569d964ca1f1f0c7!8m2!3d48.9182622!4d2.2110551!16s%2Fg%2F11flt309j0!19sChIJPaQWdH1j5kcRx_DxoUyWnVY?authuser=0&hl=fr&rclk=1,,,,,aucun mot-clé OK dans cat='entreprise de construction'
e4f284ce-2f5e-4e15-971d-dec4a4984be6,Vriet Négoce Bois,0254707106,accueil@mgsinfo.com,low,Théo,Jan,Théo Jan,mentions_legales,Blois,bardage,bardage,2,4.5,106,Magasin de materiaux de construction,http://www.vriet-negoce-bois.fr/,https://www.google.com/maps/place/Vriet+N%C3%A9goce+Bois/data=!4m7!3m6!1s0x47e4af035e4d6c4f:0xc7f6b814f32907fa!8m2!3d47.5552299!4d1.4434981!16s%2Fg%2F11btmqb14v!19sChIJT2xNXgOv5EcR-gcp8xS49sc?authuser=0&hl=fr&rclk=1,,,,,aucun mot-clé OK dans cat='magasin de materiaux de construction'
d1b2dab3-4d93-4b2f-ac4c-8dda3a8e56a5,RICHARDSON : SANITAIRE- CHAUFFAGE - PLOMBERIE - PHOTOVOLTAÏQUE,0556796969,standard.ac@richardson.fr,high,,,,,Pessac,chauffagiste,chauffagiste,2,4.5,4,Magasin de matériel de plomberie,https://www.richardson.fr/tous-les-magasins/agence/bordeaux-pessac,https://www.google.com/maps/place/RICHARDSON+:+SANITAIRE-+CHAUFFAGE+-+PLOMBERIE+-+PHOTOVOLTA%C3%8FQUE/data=!4m7!3m6!1s0xd54d90d0328e0a7:0x9159eb8032a188d!8m2!3d44.7787515!4d-0.6671507!16s%2Fg%2F11j31_n78g!19sChIJp-AoAw3ZVA0RjRgqA7ieFQk?authuser=0&hl=fr&rclk=1,,,,,category contient 'magasin de matériel'
dafa4c13-fec1-4e4c-9825-51ec9bf019dc,Giroud,0478704313,contact@ets-giroud.fr,high,,,,,Vénissieux,chauffagiste,chauffagiste,2,4.9,47,Magasin de matériel de plomberie,http://www.ets-giroud.fr/,https://www.google.com/maps/place/Giroud/data=!4m7!3m6!1s0x47f4c20b8e011ea9:0x248016b5864becfa!8m2!3d45.7089352!4d4.8679347!16s%2Fg%2F11cjwf6csz!19sChIJqR4BjgvC9EcR-uxLhrUWgCQ?authuser=0&hl=fr&rclk=1,,,,,category contient 'magasin de matériel'
