niche_source,company_name,google_maps_url,google_rating,google_review_count,category_google,address,city,phone,website
bardage,Pro Alsace Etanchéité,https://www.google.com/maps/place/Pro+Alsace+Etanch%C3%A9it%C3%A9/data=!4m7!3m6!1s0x4796c96b54fe8a5f:0x63b4332a3c1db002!8m2!3d48.6187733!4d7.7323714!16s%2Fg%2F11r3mjjjsb!19sChIJX4r-VGvJlkcRArAdPCoztGM?authuser=0&hl=fr&rclk=1,4.5,8,Travaux généraux,19 Rue de Lampertheim,,0695213696,
bardage,Oswald Couverture SARL,https://www.google.com/maps/place/Oswald+Couverture+SARL/data=!4m7!3m6!1s0x4796c984beb496a3:0xe2661db48d6aded4!8m2!3d48.5934858!4d7.720842!16s%2Fg%2F11rwp2mnxm!19sChIJo5a0voTJlkcR1N5qjbQdZuI?authuser=0&hl=fr&rclk=1,4.3,7,Couvreur,1 Rue de la Charrue,,0388441993,https://www.oswaldcouverture.fr/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=14061741873775828727
bardage,Face Alsace,https://www.google.com/maps/place/Face+Alsace/data=!4m7!3m6!1s0x4796c6e632b20ee5:0x4e5692ab9fb8ef3b!8m2!3d48.672489!4d7.7944977!16s%2Fg%2F1v8kzk62!19sChIJ5Q6yMubGlkcRO--4n6uSVk4?authuser=0&hl=fr&rclk=1,5.0,3,Entrepreneur spécialisé dans la restauration après dégât des eaux,6 Rue Ampère,,0388819299,
bardage,Technik Bardage et Couverture,https://www.google.com/maps/place/Technik+Bardage+et+Couverture/data=!4m7!3m6!1s0x4796c312967cbc5d:0xfbc09ebe7694f37f!8m2!3d48.7910429!4d7.8392348!16s%2Fg%2F11fktyzznk!19sChIJXbx8lhLDlkcRf_OUdr6ewPs?authuser=0&hl=fr&rclk=1,5.0,1,Couvreur,1 Rue de la Moder,,0608422849,http://www.technik-bardage.fr/
bardage,BEYER ETANCHEITE,https://www.google.com/maps/place/BEYER+ETANCHEITE/data=!4m7!3m6!1s0x4796b5fb53674867:0x93309caa7201e934!8m2!3d48.540838!4d7.6444396!16s%2Fg%2F1tlbhhrl!19sChIJZ0hnU_u1lkcRNOkBcqqcMJM?authuser=0&hl=fr&rclk=1,2.8,27,Entreprise d'étanchéité,·,,0388653165,https://groupe-beyer.com/beyer-etancheite-2/
bardage,Spitzer M.D.E. Couverture Zinguerie,https://www.google.com/maps/place/Spitzer+M.D.E.+Couverture+Zinguerie/data=!4m7!3m6!1s0x4796c99967d17e19:0xf2dbc46dab262d1c!8m2!3d48.5544044!4d7.7388933!16s%2Fg%2F1v8g9zjm!19sChIJGX7RZ5nJlkcRHC0mq23E2_I?authuser=0&hl=fr&rclk=1,3.7,3,Couvreur,15 Rue des Frères Eberts,,0388842521,
bardage,Dupasquier & Bloino,https://www.google.com/maps/place/Dupasquier+%26+Bloino/data=!4m7!3m6!1s0x4796b92f477d6a57:0x8002505ccf0c6d53!8m2!3d48.6741374!4d7.7235928!16s%2Fg%2F11btmbnxcc!19sChIJV2p9Ry-5lkcRU20Mz1xQAoA?authuser=0&hl=fr&rclk=1,4.7,12,Couvreur,12 All. du Château de Sury,,0388974939,https://www.dupasquier-bloino.fr/
bardage,Groupe Le Carré Strasbourg (CRH),https://www.google.com/maps/place/Groupe+Le+Carr%C3%A9+Strasbourg+%28CRH%29/data=!4m7!3m6!1s0x4796b80945bceab7:0x91403f4e32f5b130!8m2!3d48.645036!4d7.762147!16s%2Fg%2F1td3qf9f!19sChIJt-q8RQm4lkcRMLH1Mk4_QJE?authuser=0&hl=fr&rclk=1,4.1,88,Entrepreneur spécialisé dans l'isolation,·,,0390227140,https://www.groupelecarre-strasbourg.fr/?utm_source=gmb
bardage,DSH Bardage,https://www.google.com/maps/place/DSH+Bardage/data=!4m7!3m6!1s0x610b81bd4ab450e7:0xafa02de193ea08ce!8m2!3d48.24906!4d7.5372876!16s%2Fg%2F11q9s6tdkc!19sChIJ51C0Sr2BC2ERzgjqk-EtoK8?authuser=0&hl=fr&rclk=1,5.0,12,Artisanat,·,,0766680666,
bardage,SM Ravalement ( Façadier | Couvreur | Isolation ITE),https://www.google.com/maps/place/SM+Ravalement+%28+Fa%C3%A7adier+%7C+Couvreur+%7C+Isolation+ITE%29/data=!4m7!3m6!1s0x47e97564a962c269:0x88988b92efec05b!8m2!3d49.289892!4d4.016482!16s%2Fg%2F1tftqdxt!19sChIJacJiqWR16UcRW8D-LrmIiQg?authuser=0&hl=fr&rclk=1,4.2,49,Façadier,17 Avenue André Margot,,0326848790,https://www.google.com/aclk?sa=L&ai=DChsSEwjc_smtg76UAxWbfUECHc_dLpAYACICCAEQBhoCd3M&co=1&ase=2&gclid=CjwKCAjwq6DQBhBVEiwA4ZD5XGVGFzjcrSZq--5v5BGARzxiG6h9TlB7k6LnGZ_rvL0xgX_f6T8MFRoC1VAQAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_17pXPx-dN8sRT-9CAQ1U2DQv0gqQ&adurl&q&ctype=99&nis=6
bardage,MURPROTEC REIMS,https://www.google.com/maps/place/MURPROTEC+REIMS/data=!4m7!3m6!1s0x47e9750be7992e4d:0xe3742e1da59139d7!8m2!3d49.270683!4d4.022063!16s%2Fg%2F11hcj9w6zg!19sChIJTS6Z5wt16UcR1zmRpR0udOM?authuser=0&hl=fr&rclk=1,2.8,21,Centre de diagnostic,1 Rue du Colonel Moll,,0326240835,https://www.google.com/aclk?sa=L&ai=DChsSEwjc_smtg76UAxWbfUECHc_dLpAYACICCAEQBxoCd3M&co=1&ase=2&gclid=CjwKCAjwq6DQBhBVEiwA4ZD5XHawVwcUmtZlkccH2hiMzBsn3UoGWkrQ-8kGH42s8Vs3lbjUeUCDmBoCs6EQAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_1qlDhGQfxAbAzD-2MNQO1AsWjDkg&adurl&q&ctype=99&nis=6
bardage,SMC bois,https://www.google.com/maps/place/SMC+bois/data=!4m7!3m6!1s0x47e9770c20d0d7d3:0x392042bf232d32d8!8m2!3d49.2392431!4d4.0946062!16s%2Fg%2F11rzbg5nwc!19sChIJ09fQIAx36UcR2DItI79CIDk?authuser=0&hl=fr&rclk=1,4.8,157,Couvreur,·,,0326500322,http://www.smcbois.com/
bardage,Cibetanche - Reims 10,https://www.google.com/maps/place/Cibetanche+-+Reims+10/data=!4m7!3m6!1s0x47e976a297554d2d:0xd9979885c426a04!8m2!3d49.2318202!4d4.0807117!16s%2Fg%2F1thx_3mr!19sChIJLU1Vl6J26UcRBGpCXIh5mQ0?authuser=0&hl=fr&rclk=1,4.6,8,Entreprise de construction,·,,0326853549,http://cibetanche.fr/
bardage,T.C.B.S,https://www.google.com/maps/place/T.C.B.S/data=!4m7!3m6!1s0x47e9757b6ba276c1:0xe6131903995e68e1!8m2!3d49.2892716!4d4.0095586!16s%2Fg%2F11h7z1g6jb!19sChIJwXaia3t16UcR4WhemQMZE-Y?authuser=0&hl=fr&rclk=1,,,Entrepreneur spécialisé dans l'isolation,2 Rue Marie Louise Burgert Neuv,,0326079092,https://www.tcbs51.fr/
bardage,SOPREMA Entreprises et services SOPRASSISTANCE,https://www.google.com/maps/place/SOPREMA+Entreprises+et+services+SOPRASSISTANCE/data=!4m7!3m6!1s0x47e9741ff666eacb:0x2b712d43aa33005!8m2!3d49.2298032!4d4.0647485!16s%2Fg%2F1tglm6xq!19sChIJy-pm9h906UcRBTCjOtQStwI?authuser=0&hl=fr&rclk=1,3.8,28,Entrepreneur spécialisé dans l'isolation,·,,0326879292,https://www.soprema-entreprises.fr/entite/agence/entreprise-etancheite-reims/?utm_source=gmb
bardage,Iso Top Etanchéité,https://www.google.com/maps/place/Iso+Top+Etanch%C3%A9it%C3%A9/data=!4m7!3m6!1s0x47e9757c491af12d:0x88324d324835a864!8m2!3d49.2925719!4d4.0220728!16s%2Fg%2F1hc1wxk0t!19sChIJLfEaSXx16UcRZKg1SDJNMog?authuser=0&hl=fr&rclk=1,4.0,8,Entrepreneur spécialisé dans l'isolation,15 Rue Mgr Georges Béjot,,0326845070,http://isotop-etancheite.fr/
bardage,Soprema Entreprises,https://www.google.com/maps/place/Soprema+Entreprises/data=!4m7!3m6!1s0x47e976bd69d20d9d:0xd6b8e7b4bc8e3a44!8m2!3d49.2316739!4d4.0815157!16s%2Fg%2F11bzzgkqy3!19sChIJnQ3Sab126UcRRDqOvLTnuNY?authuser=0&hl=fr&rclk=1,4.5,4,Entreprise d'étanchéité,·,,0326879292,https://www.soprema-entreprises.fr/
bardage,entreprise de ravalement de façade et isolation extérieure,https://www.google.com/maps/place/entreprise+de+ravalement+de+fa%C3%A7ade+et+isolation+ext%C3%A9rieure/data=!4m7!3m6!1s0x47e975941a5b5c4f:0xcbef183af986b108!8m2!3d49.2367266!4d4.0356344!16s%2Fg%2F11fksrp2wn!19sChIJT1xbGpR16UcRCLGG-ToY78s?authuser=0&hl=fr&rclk=1,3.0,2,Façadier,119 Rue Ledru Rollin,,0661418533,
bardage,Sarabela,https://www.google.com/maps/place/Sarabela/data=!4m7!3m6!1s0x47e97521cfb262a7:0x594e4864dc68f7e5!8m2!3d49.2410148!4d4.0573482!16s%2Fg%2F11vssdkpqj!19sChIJp2KyzyF16UcR5fdo3GRITlk?authuser=0&hl=fr&rclk=1,5.0,7,Couvreur,19b Av. Henri Farman,,0634251078,http://www.sarabela.fr/?utm_source=gmb
bardage,S.R.B.Isolation,https://www.google.com/maps/place/S.R.B.Isolation/data=!4m7!3m6!1s0x47e977fad808558b:0xc72042a2e9fbfc4f!8m2!3d49.238873!4d4.090165!16s%2Fg%2F11kp_8v1gt!19sChIJi1UI2Pp36UcRT_z76aJCIMc?authuser=0&hl=fr&rclk=1,4.9,159,Entrepreneur spécialisé dans l'isolation,·,,0667719884,https://www.isolation-51.fr/
bardage,SMC Façade,https://www.google.com/maps/place/SMC+Fa%C3%A7ade/data=!4m7!3m6!1s0x47e97708d9a2329b:0x38b93da487b1e1eb!8m2!3d49.2389168!4d4.0945978!16s%2Fg%2F11vrzj4sws!19sChIJmzKi2Qh36UcR6-Gxh6Q9uTg?authuser=0&hl=fr&rclk=1,5.0,38,Façadier,3 Rue du Chaperon,,0352740998,https://www.smcfacade.com/
bardage,Face Champagne-Ardenne,https://www.google.com/maps/place/Face+Champagne-Ardenne/data=!4m7!3m6!1s0x47e9753dbe6474f7:0x5a70bb2c4f9713fb!8m2!3d49.2692816!4d4.0011576!16s%2Fg%2F11gg67y6zq!19sChIJ93Rkvj116UcR-xOXTyy7cFo?authuser=0&hl=fr&rclk=1,4.8,4,Entreprise de construction,·,,0326778185,https://www.face-sa.fr/filiales/face-champagne-ardenne/
bardage,Duman Etanche,https://www.google.com/maps/place/Duman+Etanche/data=!4m7!3m6!1s0x47e9751bc4bc1581:0x7e4d2b622fa074e1!8m2!3d49.2788691!4d4.0210235!16s%2Fg%2F11ptptc_03!19sChIJgRW8xBt16UcR4XSgL2IrTX4?authuser=0&hl=fr&rclk=1,5.0,1,Couvreur,17 Rue Pierre Laplace,,0767406909,
bardage,Aube Etanche,https://www.google.com/maps/place/Aube+Etanche/data=!4m7!3m6!1s0x47e9755aba2c7b17:0xa8af61a25c0d882a!8m2!3d49.2679594!4d3.995371!16s%2Fg%2F11llylqh9f!19sChIJF3ssulp16UcRKogNXKJhr6g?authuser=0&hl=fr&rclk=1,4.5,8,Couvreur,·,,0326823352,https://www.aube-etanche.fr/
bardage,SM Ravalement ( Façadier | Couvreur | Isolation ITE),https://www.google.com/maps/place/SM+Ravalement+%28+Fa%C3%A7adier+%7C+Couvreur+%7C+Isolation+ITE%29/data=!4m7!3m6!1s0x47e97564a962c269:0x88988b92efec05b!8m2!3d49.289892!4d4.016482!16s%2Fg%2F1tftqdxt!19sChIJacJiqWR16UcRW8D-LrmIiQg?authuser=0&hl=fr&rclk=1,4.2,50,Entrepreneur spécialisé dans l'isolation,·,,0326848790,https://smravalement.com/
bardage,Entreprise de rénovation à Reims -Equilibre Travaux - Extension de maison,https://www.google.com/maps/place/Entreprise+de+r%C3%A9novation+%C3%A0+Reims+-Equilibre+Travaux+-+Extension+de+maison/data=!4m7!3m6!1s0x47e975ab72439363:0xe0efb853a301a0cd!8m2!3d49.2553708!4d4.0240428!16s%2Fg%2F12hqvv42g!19sChIJY5NDcqt16UcRzaABo1O47-A?authuser=0&hl=fr&rclk=1,4.4,118,Travaux généraux,34 Rue de Chativesle,,0326027171,
bardage,Entreprise Wagner,https://www.google.com/maps/place/Entreprise+Wagner/data=!4m7!3m6!1s0x47e976da0506b1cf:0x82e3cdebaf802092!8m2!3d49.2215703!4d4.1080026!16s%2Fg%2F1tdzf9tr!19sChIJz7EGBdp26UcRkiCAr-vN44I?authuser=0&hl=fr&rclk=1,5.0,1,Couvreur,·,,0326045313,https://gayet.fr/groupe/wagner
bardage,BAT CONSEIL | Couverture Isolation,https://www.google.com/maps/place/BAT+CONSEIL+%7C+Couverture+Isolation/data=!4m7!3m6!1s0x47e9752c8658cc89:0xe99ecdb05a01e6d5!8m2!3d49.1935018!4d4.009853!16s%2Fg%2F1tf7f_9h!19sChIJicxYhix16UcR1eYBWrDNnuk?authuser=0&hl=fr&rclk=1,4.8,16,Entrepreneur spécialisé dans l'isolation,4 Rue des Verriats,,0326848869,http://www.bat-conseil.com/
bardage,Couvreur Reims Toiture,https://www.google.com/maps/place/Couvreur+Reims+Toiture/data=!4m7!3m6!1s0x47e97599cf98fe4b:0xbc811044ad4b6b3f!8m2!3d49.2560138!4d4.0274079!16s%2Fg%2F11nmrdkjgl!19sChIJS_6Yz5l16UcRP2tLrUQQgbw?authuser=0&hl=fr&rclk=1,5.0,8,Entrepreneur spécialisé dans l'isolation,52 Pl. Drouet d'Erlon,,0355405289,
bardage,Jaloux Habitat Evolution,https://www.google.com/maps/place/Jaloux+Habitat+Evolution/data=!4m7!3m6!1s0x47e9744eaeecd5ef:0x67edbbf3d69e2293!8m2!3d49.2486092!4d4.0404866!16s%2Fg%2F11b6dph6xk!19sChIJ79Xsrk506UcRkyKe1vO77Wc?authuser=0&hl=fr&rclk=1,4.8,16,Entrepreneur spécialisé dans l'isolation,·,,0326854832,https://www.jaloux-peinture.fr/
bardage,Piat Loick,https://www.google.com/maps/place/Piat+Loick/data=!4m7!3m6!1s0x47e9746b68afcceb:0x161860ae46e1d00a!8m2!3d49.2294586!4d4.0424368!16s%2Fg%2F11b6d5zr_5!19sChIJ68yvaGt06UcRCtDhRq5gGBY?authuser=0&hl=fr&rclk=1,5.0,3,Couvreur,24 Rue Paul Broca,,0648156043,
bardage,SM Ravalement ( Façadier | Couvreur | Isolation ITE),https://www.google.com/maps/place/SM+Ravalement+%28+Fa%C3%A7adier+%7C+Couvreur+%7C+Isolation+ITE%29/data=!4m7!3m6!1s0x47e97564a962c269:0x88988b92efec05b!8m2!3d49.289892!4d4.016482!16s%2Fg%2F1tftqdxt!19sChIJacJiqWR16UcRW8D-LrmIiQg?authuser=0&hl=fr&rclk=1,4.2,49,Façadier,17 Avenue André Margot,,0326848790,https://www.google.com/aclk?sa=L&ai=DChsSEwjLi7C0g76UAxUwrmgJHVQxHL0YACICCAEQAhoCd2Y&co=1&ase=2&gclid=CjwKCAjwq6DQBhBVEiwA4ZD5XGFj-mBfOUGd5qETIADl-UVEbWCgxlEztxgyoFsjV_XqpsIbVBrNrxoCqAEQAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_1M6qNBFAKKdQqhw48eGwx5bgPSoA&adurl&q&ctype=99&nis=6
bardage,MURPROTEC REIMS,https://www.google.com/maps/place/MURPROTEC+REIMS/data=!4m7!3m6!1s0x47e9750be7992e4d:0xe3742e1da59139d7!8m2!3d49.270683!4d4.022063!16s%2Fg%2F11hcj9w6zg!19sChIJTS6Z5wt16UcR1zmRpR0udOM?authuser=0&hl=fr&rclk=1,2.8,21,Centre de diagnostic,1 Rue du Colonel Moll,,0326240835,https://www.google.com/aclk?sa=L&ai=DChsSEwjLi7C0g76UAxUwrmgJHVQxHL0YACICCAEQBBoCd2Y&co=1&ase=2&gclid=CjwKCAjwq6DQBhBVEiwA4ZD5XKLE4_KHR0ZwpyC8-sANcIz3FF9txpfAHDakRC0b6ynD87cHrEMSRhoCXfUQAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_3sjwHo2D3Y1XgZ-rHMTUk6RC523A&adurl&q&ctype=99&nis=6
bardage,Concept Façade,https://www.google.com/maps/place/Concept+Fa%C3%A7ade/data=!4m7!3m6!1s0x47e975f5aafdfa49:0x9962f1bde350bda2!8m2!3d49.2171142!4d4.0638471!16s%2Fg%2F11qmp59f80!19sChIJSfr9qvV16UcRor1Q473xYpk?authuser=0&hl=fr&rclk=1,5.0,7,Façadier,·,,0618837725,http://www.conceptfacade51.fr/
bardage,SD Couverture Reims,https://www.google.com/maps/place/SD+Couverture+Reims/data=!4m7!3m6!1s0x47e975898d100ed5:0xbca417ad3b6e4ca8!8m2!3d49.2342112!4d4.0682661!16s%2Fg%2F11rb9mdlzq!19sChIJ1Q4QjYl16UcRqExuO60XpLw?authuser=0&hl=fr&rclk=1,5.0,8,Couvreur,8 bis Rue Gabriel Voisin,,0776238373,https://www.sdcouverture51.fr/
bardage,Dumas couverture,https://www.google.com/maps/place/Dumas+couverture/data=!4m7!3m6!1s0x47e975069e0a7b3b:0xb3384c2445e66195!8m2!3d49.2190838!4d3.9900614!16s%2Fg%2F11jp1xbfpt!19sChIJO3sKngZ16UcRlWHmRSRMOLM?authuser=0&hl=fr&rclk=1,3.7,3,Entrepreneur spécialisé dans l'isolation,7 Rue Pierre Salmon,,0352741238,
bardage,Mila isolation Bardage,https://www.google.com/maps/place/Mila+isolation+Bardage/data=!4m7!3m6!1s0x8e117bd26190b07d:0x75a25890d8786fd6!8m2!3d30.6959409!4d-49.8171262!16s%2Fg%2F11yt7c06ws!19sChIJfbCQYdJ7EY4R1m942JBYonU?authuser=0&hl=fr&rclk=1,5.0,1,Entrepreneur spécialisé dans l'isolation,·,,0759316615,https://www.milarenov.online/
bardage,Car-Iso Facade,https://www.google.com/maps/place/Car-Iso+Facade/data=!4m7!3m6!1s0x47e974019aa760e1:0x4c94ebabc0fc9957!8m2!3d49.2307484!4d4.0793388!16s%2Fg%2F11c1szzzv6!19sChIJ4WCnmgF06UcRV5n8wKvrlEw?authuser=0&hl=fr&rclk=1,4.7,12,Façadier,·,,0326367149,http://car-isofacade.fr/
bardage,Mercelot Sudour,https://www.google.com/maps/place/Mercelot+Sudour/data=!4m7!3m6!1s0x47e9753b00395a8f:0xf84742567bca8a56!8m2!3d49.2685477!4d3.994532!16s%2Fg%2F1tj7dcmk!19sChIJj1o5ADt16UcRVorKe1ZCR_g?authuser=0&hl=fr&rclk=1,3.9,7,Couvreur,2 Rue de la Fossé Cochard,,0326090196,http://www.ms-artisan-couvreur-reims.fr/
bardage,C&E,https://www.google.com/maps/place/C%26E/data=!4m7!3m6!1s0x47e97400265e2d93:0xa11542946a204098!8m2!3d49.2143709!4d4.0628913!16s%2Fg%2F11f6dl_700!19sChIJky1eJgB06UcRmEAgapRCFaE?authuser=0&hl=fr&rclk=1,4.0,12,Couvreur,15 Rue des Rémouleurs,,0326863211,http://www.ce51.fr/
bardage,ATTILA Reims Est,https://www.google.com/maps/place/ATTILA+Reims+Est/data=!4m7!3m6!1s0x47e976bd2afa60d1:0xf7d9a178aecf4fd5!8m2!3d49.239049!4d4.091452!16s%2Fg%2F11fzf8pyct!19sChIJ0WD6Kr126UcR1U_Prnih2fc?authuser=0&hl=fr&rclk=1,4.6,10,Couvreur,·,,0352626263,http://www.attila.fr/nos-agences/attila-reims-est?utm_source=Google&utm_medium=MyBusiness
bardage,Top Etanche 51,https://www.google.com/maps/place/Top+Etanche+51/data=!4m7!3m6!1s0x47ebdfcf1f1e7c81:0x87ae01dff9d8fa29!8m2!3d49.2939948!4d4.1266809!16s%2Fg%2F11h2d_qnrs!19sChIJgXweH8_f60cRKfrY-d8Broc?authuser=0&hl=fr&rclk=1,5.0,6,Entreprise d'étanchéité,3 La Voie Carlat,,0633645600,https://topetanche51.fr/
